url,title,author,image,price,"old price","external id"
https://nemira.ro/culoarul-mortii-stephen-king-ebook,"Culoarul morţii (ebook)","Stephen King",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/u/culoarul_mortii_stephen_king.jpg,"34,99 lei",,6850
https://nemira.ro/anotimpul-furtunilor-ed-2021-ebook-seria-witcher-partea-a-viii-a,"Anotimpul furtunilor ed. 2021 (ebook, Seria WITCHER, partea a VIII-a)","Andrzej Sapkowski",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/n/anotimpul_furtunilor.jpg,"34,99 lei",,6820
https://nemira.ro/casa-gucci-ebook-sarah-gay-forden,"Casa Gucci (ebook)","Sarah Gay Forden",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/a/casa_gucci.jpg,"34,99 lei",,6821
https://nemira.ro/proiectul-hail-mary-ebook,"Proiectul Hail Mary (ebook)","Andy Weir",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/n/andy-weir---proiectul-hail-mary_c1_1.jpg,"35,73 lei","39,70 lei",6704
https://nemira.ro/dansul-dragonilor-ebook-seria-cantec-de-gheata-si-foc-george-r-r-martin,"Dansul dragonilor (ebook, Seria Cântec de gheață și foc, partea a V-a)","George R.R. Martin",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/g/e/george-rr-martin---5---dansul-dragonilor---vol1---c1_2.jpg,"47,64 lei","52,93 lei",6682
https://nemira.ro/iuresul-sabiilor-ebook-seria-cantec-de-gheata-si-foc-george-r-r-martin,"Iureșul săbiilor (ebook, Seria Cântec de gheață și foc, partea a III-a)","George R.R. Martin",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/g/e/george-rr-martin---3---iuresul-sabiilor---vol1---c1_2.jpg,"47,64 lei","52,93 lei",6680
https://nemira.ro/festinul-ciorilor-ebook-seria-cantec-de-gheata-si-foc-partea-a-iv-a-george-r-r-martin,"Festinul ciorilor (ebook, Seria Cântec de gheață și foc, partea a IV-a)","George R.R. Martin",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/g/e/george-rr-martin---4---festinul-ciorilor---c1_2.jpg,"39,70 lei","44,11 lei",6681
https://nemira.ro/mai-tarziu-ebook-stephen-king,"Mai târziu (ebook)","Stephen King",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/m/a/mai_tarziu.jpg,"27,79 lei","30,87 lei",6662
https://nemira.ro/dune-casa-corrino-ebook-brian-herbert-kevin-j-anderson,"Dune. Casa Corrino (ebook)","Brian Herbert",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/d/u/dune_casa_corrino.jpg,"31,76 lei","35,29 lei",6661
https://nemira.ro/acceptare-ebook-trilogia-southern-reach-iii-jeff-vandermeer,"Acceptare (ebook, Trilogia Southern Reach, partea a III-a)","Jeff VanderMeer",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/c/acceptare.jpg,"23,82 lei","26,46 lei",6659
